machine,grade,feature,stride,accuracy,precision,recall,f1,roc_auc
svm,1,B,-1,0.6151,0.4843,0.4589,0.4339,0.5022
svm,1,B,1,0.6431,0.4909,0.4738,0.4440,0.4894
svm,1,B,2,0.6561,0.4924,0.4783,0.4499,0.4864
svm,1,B,3,0.6481,0.4908,0.4738,0.4457,0.4785
svm,1,B,100,0.8000,0.5042,0.5109,0.4866,0.6059
svm,2,B,-1,0.6189,0.5129,0.5183,0.4961,0.4924
svm,2,B,1,0.6625,0.5001,0.5000,0.4929,0.4060
svm,2,B,2,0.6742,0.5014,0.5009,0.4960,0.3878
svm,1,B,-1,0.6151,0.4843,0.4589,0.4339,0.5023
svm,1,B,1,0.6431,0.4909,0.4738,0.4440,0.4895
svm,1,B,2,0.6561,0.4924,0.4783,0.4499,0.4864
svm,1,B,3,0.6481,0.4908,0.4738,0.4457,0.4785
svm,1,B,100,0.8000,0.5042,0.5109,0.4866,0.6059
svm,2,B,-1,0.6189,0.5129,0.5183,0.4961,0.4923
svm,2,B,1,0.6625,0.5001,0.5000,0.4929,0.4060
svm,2,B,2,0.6742,0.5014,0.5009,0.4960,0.3878
svm,2,B,3,0.6819,0.5024,0.5021,0.4981,0.3706
svm,2,B,100,0.7090,0.4804,0.4761,0.4774,0.4090
svm,3,B,-1,0.5649,0.5107,0.5136,0.5034,0.5133
svm,3,B,1,0.5459,0.5072,0.5104,0.4946,0.4914
svm,3,B,2,0.5479,0.5045,0.5063,0.4937,0.4928
svm,3,B,3,0.5558,0.5071,0.5093,0.4979,0.4948
svm,3,B,100,0.5598,0.4849,0.4834,0.4829,0.4540
svm,4,B,-1,0.4104,0.4703,0.4564,0.3874,0.4457
svm,4,B,1,0.4078,0.4592,0.4396,0.3805,0.4092
svm,4,B,2,0.4025,0.4588,0.4394,0.3772,0.4064
svm,4,B,3,0.4059,0.4623,0.4442,0.3802,0.4070
svm,4,B,100,0.4819,0.4865,0.4798,0.4372,0.5036
svm,5,B,-1,0.4765,0.4875,0.4813,0.4309,0.4871
svm,5,B,1,0.4859,0.4745,0.4638,0.4242,0.4389
svm,5,B,2,0.4875,0.4740,0.4626,0.4244,0.4358
svm,5,B,3,0.4800,0.4721,0.4590,0.4207,0.4324
svm,5,B,100,0.5761,0.4774,0.4715,0.4650,0.4333
svm,6,B,-1,0.6083,0.4800,0.4165,0.4041,0.3352
svm,6,B,1,0.5902,0.4693,0.4068,0.4029,0.2916
svm,6,B,2,0.6116,0.4715,0.4159,0.4122,0.2988
svm,6,B,3,0.6063,0.4709,0.4131,0.4099,0.3043
svm,6,B,100,0.6478,0.4719,0.4190,0.4233,0.2755
